WE|ACTV|CROP 北方地区要抓住晴好天气完成秋收扫尾工作，做好粮食通风晾晒储藏工作，防止发芽霉变
WE 本周,全国大部仍多晴好天气，农区大部气温比常年同期偏高1～4℃，吉林中西部、辽宁西北部等地偏高4～6℃（图1）
WE 新疆北部、内蒙古东北部、东北地区大部、江南大部及华南中部和南部等地降水量有10～50毫米，广东中部和海南东部部分地区达50～250毫米（图2），较常年同期偏多8成至4倍（图3），全国其余大部地区降水量偏少5成以上
WE 农区大部日照接近常年或偏多，其中黄淮大部、西南地区东部等地偏多3成至1倍（图4）；新疆北部、东北地区中东部、江南和华南大部偏少3～8成
CROP|ACTV 江南和华南北部大部晚稻已收获完毕，华南南部处于乳熟至成熟收获期（表1）
ACTV 华南地区要抢晴收晒晚稻
CROP|ACTV 目前，大部晚稻已收获完毕，华南南部部分地区仍处于乳熟至成熟收获期（表1）
CROP 北方大部冬小麦处于三叶至分蘖期，新疆北部部分进入越冬期
CROP 黄淮西部、江淮、江汉和西南大部处于播种出苗期，湖北北部、四川盆地西部、西藏进入三叶期，云南中部进入分蘖期
CROP 江汉北部、江西南部油菜处于出苗阶段，长江流域大部处于第五真叶至移栽成活期
WE 江南、华南：周内，大部地区气温接近常年或偏高1～4℃
ENV 本周，湖南西部等地农田土壤缺墒持续
WE 全国其余大部农区无明显农业气象灾害
WE 未来一周，影响我国的冷空气活动频繁，我国大部地区气温较常年同期偏低1～2℃，华北、东北地区偏低3～5℃
WE 其中21-22日，弱冷空气将影响长江以北大部地区，气温下降4～6℃、局地8℃以上，内蒙古东北部、东北地区中北部等地有小到中雪
WE 25-26日，较强冷空气自北向南影响中东部大部，气温下降6～8℃、局地10℃以上，长江以北大部地区有4～6级风，华北北部、东北地区东部有小到中雪、局地大雪
ACTV 南方秋播区要尽快完成冬小麦播种，及时查苗补苗
ACTV|CROP 江南、华南要抓住降水时机做好蓄水工作，确保冬季生产用水
ACTV 华南南部地区要避雨，及时收晒晚稻
WE 预计未来一周，全国大部气温接近常年同期，华北大部、内蒙古和东北地区气温偏低
WE 本周，全国大部农区气温接近常年或偏低1～4℃，东北地区北部和东部、内蒙古东北部、华南中西部等地偏低4～6℃（图1）
WE 全国大部地区降水偏少
WE 降水主要集中在江南南部和东部、华南大部、四川盆地南部及云南中南部，大部降水量有10～50毫米，云南南部达50～110毫米（图2），上述大部降水量较常年同期偏多5成至2倍（图3）
WE 北方大部地区日照接近常年或偏多3～5成，长江以南大部地区日照较常年同期偏少3～9成（图4）
CROP 目前，北方大部冬小麦处于三叶至分蘖期，新疆北部、西北地区东北部、山西中部等地部分进入越冬期
CROP 江淮、江汉和西南大部处于播种出苗至三叶期，四川盆地西部和云南中部部分进入分蘖期（表1）
CROP 长江流域大部油菜处于第五真叶至移栽成活期，仅江汉北部、江南东南部部分仍处出苗阶段
WE 江南、华南：周内，大部地区气温偏低1～4℃，其中华南中西部偏低4～6℃
WE 本周，全国大部农区无明显农业气象灾害
WE 预计未来一周，全国大部气温接近常年同期，华北大部、东北平均气温较常年同期偏低1～2℃，其中内蒙古东北部和东北地区北部气温偏低幅度可达2～4℃
